,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,suspectedCount,curedCount,deadCount,comment,sort,operator,locationId,countryShortCode
0,1071129,1584237709000,1584237709000,,2,欧洲,10,意大利,,,18277,21157,0,1439,1441,,0,zhangjing1,965008,ITA
1,1071159,1584237709000,1584237709000,,2,亚洲,10,伊朗,,,8686,12729,0,3529,514,,0,zhangjing1,955007,IRN
2,1071116,1584237709000,1584237709000,,2,亚洲,7,韩国,,,7504,8086,0,510,72,,0,zhangjing1,951004,KOR
3,1071131,1584237709000,1584237709000,,2,欧洲,10,西班牙,,,4923,5232,0,189,120,,0,zhangjing1,965015,ESP
4,1071123,1584237709000,1584237709000,,2,欧洲,10,德国,,,3773,3795,0,14,8,,0,zhangjing1,963003,DEU
5,1071114,1584237709000,1584237709000,,2,欧洲,5,法国,,,3570,3661,0,12,79,,0,zhangjing1,961002,FRA
6,1071117,1584237709000,1584237709000,,2,北美洲,8,美国,,,2589,2655,0,10,56,,0,zhangjing1,971002,USA
7,1071168,1584237709000,1584237709000,,2,欧洲,10,瑞士,,,1182,1189,0,3,4,,0,zhangjing1,963008,CHE
8,1071223,1584237709000,1584237709000,,2,欧洲,10,英国,,,1111,1140,0,8,21,,0,zhangjing1,961007,GBR
9,1071177,1584237709000,1584237709000,,2,欧洲,10,挪威,,,1043,1046,0,0,3,,0,zhangjing1,962004,NOR
10,1071176,1584237709000,1584237709000,,2,欧洲,10,丹麦,,,800,801,0,1,0,,0,zhangjing1,962001,DNK
11,1071179,1584237709000,1584237709000,,2,欧洲,10,荷兰,,,799,804,0,0,5,,0,zhangjing1,961006,NLD
12,1071132,1584237709000,1584237709000,,2,欧洲,10,瑞典,,,767,775,0,0,8,,0,zhangjing1,962005,SWE
13,1071144,1584237709000,1584237709000,,2,欧洲,10,比利时,,,685,689,0,1,3,,0,zhangjing1,961001,BEL
14,1071115,1584237709000,1584237709000,,2,亚洲,6,日本,,,590,746,0,135,21,,0,zhangjing1,951002,JPN
15,1071170,1584237709000,1584237709000,,2,欧洲,10,奥地利,,,497,504,0,6,1,,0,zhangjing1,963001,AUT
16,1071224,1584237709000,1584237709000,,2,亚洲,10,卡塔尔,,,338,338,0,0,0,,0,zhangjing1,955015,QAT
17,1071146,1584237709000,1584237709000,,2,其他,10,钻石公主号邮轮,,,263,697,0,427,7,,0,zhangjing1,0,Princess
18,1071120,1584237709000,1584237709000,,2,大洋洲,10,澳大利亚,,,209,236,0,24,3,,0,zhangjing1,990001,AUS
19,1071113,1584237709000,1584237709000,,2,亚洲,4,马来西亚,,,206,238,0,32,0,,0,zhangjing1,952007,MYS
20,1071121,1584237709000,1584237709000,,2,北美洲,10,加拿大,,,193,198,0,4,1,,0,zhangjing1,971001,CAN
21,1071171,1584237709000,1584237709000,,2,欧洲,10,希腊,,,189,190,0,0,1,,0,zhangjing1,965007,GRC
22,1071164,1584237709000,1584237709000,,2,亚洲,10,巴林,,,176,211,0,35,0,,0,zhangjing1,955004,BHR
23,1071127,1584237709000,1584237709000,,2,欧洲,10,芬兰,,,154,155,0,1,0,,0,zhangjing1,962002,FIN
24,1071160,1584237709000,1584237709000,,2,亚洲,10,以色列,,,152,154,0,2,0,,0,zhangjing1,955009,ISR
25,1071230,1584237709000,1584237709000,,2,欧洲,10,捷克,,,141,141,0,0,0,,0,zhangjing1,963002,CZE
26,1071371,1584237709000,1584237709000,,2,欧洲,10,斯洛文尼亚,,,141,141,0,0,0,,0,zhangjing1,965014,SVN
27,1071186,1584237709000,1584237709000,,2,欧洲,10,冰岛,,,128,128,0,0,0,,0,zhangjing1,962003,ISL
28,1071112,1584237709000,1584237709000,,2,亚洲,3,新加坡,,,118,200,0,82,0,,0,zhangjing1,952009,SGP
29,1071369,1584237709000,1584237709000,,2,欧洲,10,波兰,,,103,104,0,0,1,,0,zhangjing1,963006,POL
30,1071163,1584237709000,1584237709000,,2,亚洲,10,科威特,,,100,100,0,0,0,,0,zhangjing1,955011,KWT
31,1071173,1584237709000,1584237709000,,2,南美洲,10,巴西,,,98,98,0,0,0,,0,zhangjing1,973003,BRA
32,1071174,1584237709000,1584237709000,,2,欧洲,10,罗马尼亚,,,94,97,0,3,0,,0,zhangjing1,965011,ROU
33,1071232,1584237709000,1584237709000,,2,亚洲,10,印度尼西亚,,,93,96,0,2,1,,0,zhangjing1,952005,IDN
34,1071133,1584237709000,1584237709000,,2,亚洲,10,菲律宾,,,91,98,0,1,6,,0,zhangjing1,952008,PHL
35,1071161,1584237709000,1584237709000,,2,亚洲,10,黎巴嫩,,,89,93,0,1,3,,0,zhangjing1,955012,LBN
36,1071225,1584237709000,1584237709000,,2,欧洲,10,爱尔兰,,,89,90,0,0,1,,0,zhangjing1,961003,IRL
37,1071235,1584237709000,1584237709000,,2,亚洲,10,沙特阿拉伯,,,85,86,0,1,0,,0,zhangjing1,955016,SAU
38,1071128,1584237709000,1584237709000,,2,亚洲,10,印度,,,81,84,0,3,0,,0,zhangjing1,953003,IND
39,1071145,1584237709000,1584237709000,,2,非洲,10,埃及,,,70,93,0,21,2,,0,zhangjing1,981002,EGY
40,1071175,1584237709000,1584237709000,,2,欧洲,10,爱沙尼亚,,,68,68,0,0,0,,0,zhangjing1,964002,EST
41,1071228,1584237709000,1584237709000,,2,欧洲,10,圣马力诺,,,66,73,0,2,5,,0,zhangjing1,965012,SMR
42,1071126,1584237709000,1584237709000,,2,亚洲,10,阿联酋,,,65,85,0,20,0,,0,zhangjing1,955019,ARE
43,1071162,1584237709000,1584237709000,,2,亚洲,10,伊拉克,,,60,93,0,24,9,,0,zhangjing1,955008,IRQ
44,1071277,1584237709000,1584237709000,,2,欧洲,10,葡萄牙,,,59,59,0,0,0,,0,zhangjing1,965010,PRT
45,1071111,1584237709000,1584237709000,,2,亚洲,2,泰国,,,47,82,0,34,1,,0,zhangjing1,952010,THA
46,1071130,1584237709000,1584237709000,,2,欧洲,10,俄罗斯,,,44,47,0,3,0,,0,zhangjing1,964006,RUS
