,id,createTime,modifyTime,tags,countryType,continents,provinceId,provinceName,provinceShortName,cityName,currentConfirmedCount,confirmedCount,confirmedCountRank,suspectedCount,curedCount,deadCount,deadCountRank,deadRate,deadRateRank,comment,sort,operator,locationId,countryShortCode,countryFullName,statisticsData,incrVo,showRank
0,1689164.0,1585104136000.0,1585104136000.0,,2,欧洲,10,意大利,,,54030,69176,2.0,0,8326,6820,1.0,9.85,2.0,,0.0,yuyb,965008,ITA,Italy,https://file1.dxycdn.com/2020/0315/993/3402160517102843054-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
1,1689152.0,1585104136000.0,1585104136000.0,,2,北美洲,8,美国,,,52552,53588,3.0,0,333,703,6.0,1.31,33.0,,0.0,yuyb,971002,USA,United States of America,https://file1.dxycdn.com/2020/0315/553/3402160512808052518-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
2,1689166.0,1585104136000.0,1585104136000.0,,2,欧洲,10,西班牙,,,35273,42058,4.0,0,3794,2991,3.0,7.11,7.0,,0.0,yuyb,965015,ESP,Spain,https://file1.dxycdn.com/2020/0315/812/3402160512807875660-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
3,1689158.0,1585104136000.0,1585104136000.0,,2,欧洲,10,德国,,,29542,32991,5.0,0,3290,159,9.0,0.48,52.0,,0.0,yuyb,963003,DEU,Germany,https://file1.dxycdn.com/2020/0315/631/3402160538577680475-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
4,1689149.0,1585104136000.0,1585104136000.0,,2,欧洲,5,法国,,,17999,22300,7.0,0,3201,1100,5.0,4.93,12.0,,0.0,yuyb,961002,FRA,France,https://file1.dxycdn.com/2020/0315/929/3402160538577857318-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
5,1689194.0,1585104136000.0,1585104136000.0,,2,亚洲,10,伊朗,,,13964,24811,6.0,0,8913,1934,4.0,7.79,4.0,,0.0,yuyb,955007,IRN,Iran (Islamic Republic of),https://file1.dxycdn.com/2020/0315/596/3402160510660568739-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
6,1689203.0,1585104136000.0,1585104136000.0,,2,欧洲,10,瑞士,,,8747,8836,9.0,0,3,86,12.0,0.97,40.0,,0.0,yuyb,963008,CHE,Switzerland,https://file1.dxycdn.com/2020/0315/786/3402160525692954837-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
7,1689258.0,1585104136000.0,1585104136000.0,,2,欧洲,10,英国,,,7520,8077,10.0,0,135,422,7.0,5.22,9.0,,0.0,yuyb,961007,GBR,The United Kingdom,https://file1.dxycdn.com/2020/0315/364/3402160538577680395-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
8,1689214.0,1585104136000.0,1585104136000.0,,2,欧洲,10,荷兰,,,5284,5560,11.0,0,0,276,8.0,4.96,11.0,,0.0,yuyb,961006,NLD,Netherlands,https://file1.dxycdn.com/2020/0315/850/3402160510660568773-135.json,"{'currentConfirmedIncr': 0, 'confirmedIncr': 0, 'curedIncr': 0, 'deadIncr': 0}",True
9,1689151.0,1585104136000.0,1585104136000.0,,2,亚洲,7,韩国,,,5281,9137,8.0,0,3730,126,10.0,1.37,30.0,,0.0,yuyb,951004,KOR,Republic of Korea,https://file1.dxycdn.com/2020/0315/779/3402160514955536234-135.json,"{'currentConfirmedIncr': -129, 'confirmedIncr': 100, 'curedIncr': 223, 'deadIncr': 6}",True
